column_name,category,status,reason,redundant_with
to_patient_id,admin,DROP,"Patient identifier. Join key only, never a feature.",
covid19_statuses,admin,DROP,Constant: 'positive' for all 1384 rows. Zero variance.,
last.status,outcome,LEAK,Discharge disposition (discharged/deceased). Secondary reporting metric only.,
age.splits,demographics,SAFE,"Age band: [18,59], (59,74], (74,90]. Known at presentation.",
gender_concept_name,demographics,SAFE,MALE 760 / FEMALE 592 / null 32. Known at presentation.,
visit_start_datetime,admin,SAFE,"Admission date, known at presentation. Date-shifted for de-identification; spans Dec-1900 to Sep-1901. Carries a calendar-wave confound because COVID treatment protocols changed over 2020 -- use with caution or bin coarsely.",
visit_concept_name,admin,LEAK_RISK,"Inpatient 1025 / ER 357 / Outpatient 2. Encodes the admission decision, which a clinician makes in reaction to observed severity.",
is_icu,outcome,LEAK,Component of the severe label. Training on it is circular.,
was_ventilated,outcome,LEAK,Component of the severe label. Training on it is circular.,
invasive_vent_days,outcome,LEAK,Computed from the ventilation event. NaN corresponds exactly to was_ventilated=='No'.,
length_of_stay,outcome,LEAK,"Whole-stay quantity, unknown until discharge.",
Acute.Hepatic.Injury..during.hospitalization.,in_hospital,LEAK,Column name states the observation window is the hospitalization.,
Acute.Kidney.Injury..during.hospitalization.,in_hospital,LEAK,Column name states the observation window is the hospitalization.,
Urine.protein,lab_binned,SAFE,"Normal/Abnormal, 60.3% null. No numeric counterpart in this file.",
kidney_replacement_therapy,in_hospital,LEAK,In-hospital dialysis (70 Yes). A treatment given in response to deterioration.,
kidney_transplant,comorbidity,DROP,"98.4% null, only 22 Yes. Too sparse to estimate anything from.",
htn_v,comorbidity,SAFE,"Baseline hypertension history, known before admission.",
dm_v,comorbidity,SAFE,"Baseline diabetes mellitus history, known before admission.",
cad_v,comorbidity,SAFE,"Baseline coronary artery disease history, known before admission.",
hf_ef_v,comorbidity,SAFE,Heart failure phenotype: No / HFpEF / HFrEF. Baseline history.,
ckd_v,comorbidity,SAFE,"Baseline chronic kidney disease history, known before admission.",
malignancies_v,comorbidity,SAFE,"Baseline malignancy history, known before admission.",
copd_v,comorbidity,SAFE,"Baseline COPD history, known before admission.",
other_lung_disease_v,comorbidity,SAFE,"Baseline other chronic lung disease history, known before admission.",
acei_v,comorbidity,SAFE,"Baseline home ACE inhibitor history, known before admission.",
arb_v,comorbidity,SAFE,"Baseline home ARB history, known before admission.",
antibiotics_use_v,comorbidity,DROP,"Ambiguous timing, unresolved without data dictionary -- excluded conservatively. The _v suffix suggests baseline/home use, but if this records in-hospital administration it is a response to severity. Promote to SAFE only after the TCIA documentation confirms it is a pre-admission value.",
nsaid_use_v,comorbidity,DROP,"Ambiguous timing, unresolved without data dictionary -- excluded conservatively. Same concern as antibiotics_use_v.",
days_prior_sx,symptom,SAFE,Days of symptoms before presentation. Reported at admission.,
smoking_status_v,comorbidity,SAFE,Never 764 / Former 250 / Current 36. Baseline history.,
cough_v,symptom,SAFE,Cough reported at presentation.,
dyspnea_admission_v,symptom,SAFE,Dyspnea recorded at admission.,
nausea_v,symptom,SAFE,Nausea reported at presentation.,
vomiting_v,symptom,SAFE,Vomiting reported at presentation.,
diarrhea_v,symptom,SAFE,Diarrhea reported at presentation.,
